140,황우슬혜,히트맨
141,김성오,킹메이커
142,이지원,히트맨
143,이준혁,소녀작가 입문기
144,츠츠이 마리코,옆얼굴
145,미츠이시 켄,새벽의 모든
146,이소무라 하야토,정욕
147,키노 하나,윤희에게
148,러셀 크로우,크레이븐 더 헌터
149,샘 워싱턴,호라이즌: 아메리칸 사가 챕터 1
150,클로이 베일리,
151,라이언 심킨스,앵귀시: 소녀의 저주
152,도경수,더 문
153,원진아,해피 뉴 이어
154,신예은,
155,배성우,1947 보스톤
156,강경헌,헌트
157,미셸 윌리엄스,파벨만스
158,주드 허쉬,인디펜던스 데이: 리써전스
159,홍 차우,카인드 오브 카인드니스
160,메리앤 프런켓,부모님과 이혼하는 방법
161,존 마가로,9월 5일: 위험한 특종
162,앤드레 벤자민,하이 라이프
163,제임스 르그로스,어떤 여인들
164,오가타 메구미,극장판 파워 디지몬 더 비기닝
165,하나자와 카나,"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로"
166,코마츠 미카코,"블루 서멀, 같은 하늘을 보고 싶어"
167,우치야마 코우키,데드데드 데몬즈 디디디디 디스트럭션: 파트1
168,세키 토모카즈,사이코패스 시너스 오브 더 시스템 케이스3: 은원의 너머에
169,나카무라 유이치,기동전사 건담 SEED FREEDOM
170,사쿠라이 타카히로,극장판 울려라! 유포니엄: 앙상블 콘테스트
171,아델 에넬,포트레이트 오브 어 레이디 온 파이어
172,노에미 메를랑,더 발코니츠
173,발레리아 골리노,포트레이트 오브 어 레이디 온 파이어
174,김윤석,노량: 죽음의 바다
175,이승기,궁합
176,김성령,부활남
177,강한나,순수의 시대
178,박수영,낭만적 공장
179,김시우,
180,윤채나,도그데이즈
181,심희섭,돌핀
182,길해연,비밀
183,이순재,안녕하세요
184,(여자)아이들,
185,미연,
186,민니,
187,소연,
188,우기,
189,슈화,
190,파올로 포르토게지,
191,안토니오 파올루치,
192,김태리,외계+인 1부
193,류준열,외계+인 1부
194,문소리,니 부모 얼굴이 보고 싶다
195,진기주,행복의 나라
196,모리야마 미라이,위대한 부재
197,고토 노아,
198,아오키 무네타카,범죄도시3
199,김재중,신사: 악귀의 속삭임
200,양조위,무명
201,탕웨이,헤어질 결심
202,진충,무죄가족
203,왕리홍,어글리 돌
204,탁종화,메리 마이 데드 바디
205,하라 나노카,극장판 미스터리라 하지 말지어다
206,마츠무라 호쿠토,새벽의 모든
207,후카츠 에리,서바이벌 패밀리
208,마츠모토 코시로,히어로
209,소메타니 쇼타,위국일기
210,이토 사이리,가부키초의 탐정 마리코
211,하나세 코토네,
212,하나자와 카나,"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로"
213,카미키 류노스케,고질라 마이너스 원
214,하마베 미나미,금의 나라 물의 나라
215,야마다 료스케,타올라라 검
216,나애진,굿 마더
217,안석환,쿼바디스
218,강봉성,캐논볼
219,김진영,니나 내나
220,최정현,
221,박현숙,"열여덟, 어른이 되는 나이"
222,옹성우,인생은 아름다워
223,김지은,
224,박예린,왕을 찾아서
225,정재헌,바다 탐험대 옥토넛 어보브 앤 비욘드: 극지방 대작전
226,사성웅,"극장판 엉덩이 탐정: 안녕, 나의 영원한 친구"
227,김사라,"극장판 엉덩이 탐정: 안녕, 나의 영원한 친구"
228,서기,아일랜드
229,고첩,천량지전: 새벽이 오기 전에
230,투안 춘하오,
231,유승택,러브
232,다케우치 준,
